TCS #, Main , Midblock Route , Side 1 Route , Side 2 Route ,Activation Date,Latitude,Longitude,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
2, JARVIS ST ,, FRONT ST E ,,11/15/1948,43.649418000,-79.371446000,06-21-2017,15662,13535
3, KING ST E ,, JARVIS ST ,,08/23/1950,43.650460600,-79.371923900,09-17-2016,12960,7333
4, JARVIS ST ,, ADELAIDE ST E ,,09/12/1958,43.651533700,-79.372360000,11-08-2016,17770,7083
5, JARVIS ST ,, RICHMOND ST E ,,04/21/1962,43.652717600,-79.372824000,12-08-2015,19678,4369
6, JARVIS ST ,, QUEEN ST E ,,08/24/1928,43.653704000,-79.373238000,09-17-2016,14487,3368
7, JARVIS ST ,, SHUTER ST ,,11/18/1948,43.655357000,-79.373862000,11-08-2016,15846,3747
8, JARVIS ST ,, DUNDAS ST E ,,06/21/1928,43.657052000,-79.374531000,06-27-2017,17835,5858
9, JARVIS ST ,, GERRARD ST E ,,07/14/1941,43.660432000,-79.375853700,11-01-2016,18196,6493
10, JARVIS ST ,, CARLTON ST ,,06/28/1928,43.662420000,-79.376707900,01-21-2017,14222,6165
11, JARVIS ST ,, WELLESLEY ST E ,,09/28/1948,43.666289400,-79.378325000,11-01-2016,18163,5213
12, JARVIS ST ,, ISABELLA ST ,,09/13/1960,43.668869000,-79.379415800,11-01-2016,15197,2713
13, MOUNT PLEASANT RD ,, CHARLES ST E , JARVIS ST ,05/23/1950,43.669989200,-79.379922600,11-01-2016,16280,2976
14, BLOOR ST E ,, TED ROGERS WAY ,,03/28/1951,43.671577300,-79.380520000,01-11-2018,15844,9810
15, CHURCH ST ,, FRONT ST E , WELLINGTON ST E ,04/24/1950,43.648513176,-79.373833537,04-20-2015,10467,7381
16, KING ST E ,, CHURCH ST ,,01/10/1928,43.649916400,-79.374409000,11-08-2016,12017,20866
17, CHURCH ST ,, ADELAIDE ST E ,,11/22/1948,43.651173000,-79.374925000,11-08-2016,13816,9692
18, CHURCH ST ,, RICHMOND ST E ,,11/22/1948,43.652441000,-79.375448000,11-08-2016,10374,7179
19, QUEEN ST E ,, CHURCH ST ,,08/24/1983,43.653170000,-79.375754000,11-08-2016,13867,11799
20, CHURCH ST ,, SHUTER ST ,,11/18/1948,43.654817000,-79.376441000,11-08-2016,11028,6952
21, DUNDAS ST E ,, CHURCH ST ,,12/17/1952,43.656499000,-79.377127000,04-13-2015,13764,10302
22, CHURCH ST ,, GERRARD ST E ,,07/18/1941,43.659858000,-79.378522000,11-08-2016,13437,15840
23, CHURCH ST ,, CARLTON ST ,,02/17/1932,43.661871000,-79.379335000,01-28-2017,11648,11072
24, CHURCH ST ,, WELLESLEY ST E ,,07/18/1941,43.665703400,-79.380928000,01-18-2017,12231,12520
25, BLOOR ST E ,, CHURCH ST ,,02/19/1932,43.671022400,-79.383123000,01-11-2018,18339,27313
26, ADELAIDE ST E ,, VICTORIA ST ,,09/27/1928,43.650653900,-79.377248000,06-13-2017,9968,18326
27, VICTORIA ST ,, RICHMOND ST E ,,11/03/1927,43.651952200,-79.377756000,06-15-2017,11767,10589
28, QUEEN ST E ,, VICTORIA ST ,,11/03/1927,43.652670300,-79.378066000,06-14-2017,10087,24100
29, YONGE ST ,, FRONT ST ,,08/24/1928,43.646846000,-79.376931000,09-17-2016,10996,10950
